gene;gene_id
ENSG00000273926;ENSG00000273926
ENSG00000265550;ENSG00000265550
ENSG00000221424;ENSG00000221424
ENSG00000221429;ENSG00000221429
ENSG00000280863;ENSG00000280863
ENSG00000251713;ENSG00000251713
ENSG00000281346;ENSG00000281346
ENSG00000255080;ENSG00000255080
ENSG00000273615;ENSG00000273615
ENSG00000260636;ENSG00000260636
ENSG00000274648;ENSG00000274648
ENSG00000263422;ENSG00000263422
ENSG00000264173;ENSG00000264173
ENSG00000278453;ENSG00000278453
ENSG00000260872;ENSG00000260872
ENSG00000280588;ENSG00000280588
ENSG00000271721;ENSG00000271721
ENSG00000280643;ENSG00000280643
ENSG00000281570;ENSG00000281570
ENSG00000231363;ENSG00000231363
ENSG00000280816;ENSG00000280816
ENSG00000275727;ENSG00000275727
ENSG00000221070;ENSG00000221070
ENSG00000213971;ENSG00000213971
ENSG00000264918;ENSG00000264918
ENSG00000276381;ENSG00000276381
ENSG00000278597;ENSG00000278597
ENSG00000252146;ENSG00000252146
ENSG00000215996;ENSG00000215996
ENSG00000219448;ENSG00000219448
ENSG00000264288;ENSG00000264288
ENSG00000264284;ENSG00000264284
ENSG00000222235;ENSG00000222235
ENSG00000275104;ENSG00000275104
ENSG00000221799;ENSG00000221799
ENSG00000271745;ENSG00000271745
ENSG00000275686;ENSG00000275686
ENSG00000275684;ENSG00000275684
ENSG00000275685;ENSG00000275685
ENSG00000269948;ENSG00000269948
ENSG00000278136;ENSG00000278136
ENSG00000280615;ENSG00000280615
ENSG00000278512;ENSG00000278512
ENSG00000225261;ENSG00000225261
ENSG00000268549;ENSG00000268549
ENSG00000279893;ENSG00000279893
ENSG00000231709;ENSG00000231709
ENSG00000278354;ENSG00000278354
ENSG00000275258;ENSG00000275258
ENSG00000264641;ENSG00000264641
ENSG00000264642;ENSG00000264642
ENSG00000264510;ENSG00000264510
ENSG00000281866;ENSG00000281866
ENSG00000276694;ENSG00000276694
ENSG00000277021;ENSG00000277021
ENSG00000254142;ENSG00000254142
ENSG00000265621;ENSG00000265621
ENSG00000263504;ENSG00000263504
ENSG00000264991;ENSG00000264991
ENSG00000211499;ENSG00000211499
ENSG00000215976;ENSG00000215976
ENSG00000215972;ENSG00000215972
ENSG00000155640;ENSG00000155640
ENSG00000276024;ENSG00000276024
ENSG00000280111;ENSG00000280111
ENSG00000264724;ENSG00000264724
ENSG00000274277;ENSG00000274277
ENSG00000233501;ENSG00000233501
ENSG00000238976;ENSG00000238976
ENSG00000221247;ENSG00000221247
ENSG00000221246;ENSG00000221246
ENSG00000228389;ENSG00000228389
ENSG00000254640;ENSG00000254640
ENSG00000264953;ENSG00000264953
ENSG00000214733;ENSG00000214733
